order_id,date,product,category,region,salesperson,units,unit_price
1001,2026-01-05,Laptop,Electronics,North,Ana,2,950
1002,2026-01-07,Monitor,Electronics,South,Carlos,3,320
1003,2026-01-10,Keyboard,Accessories,East,Maria,5,45
1004,2026-01-12,Mouse,Accessories,West,Ana,8,25
1005,2026-01-15,Laptop,Electronics,South,Carlos,1,950
1006,2026-02-02,Monitor,Electronics,North,Maria,4,320
1007,2026-02-05,Keyboard,Accessories,West,Ana,6,45
1008,2026-02-09,Laptop,Electronics,East,Carlos,2,950
1009,2026-02-12,Mouse,Accessories,North,Maria,10,25
1010,2026-02-18,Monitor,Electronics,South,Ana,2,320
1011,2026-03-03,Laptop,Electronics,West,Carlos,3,950
1012,2026-03-08,Keyboard,Accessories,North,Maria,7,45
